id;uuid;create_time;retry_counter;error_desc;operation_system;browser;resolution_width;resolution_height
1;synergies функциональный;2022-08-16T01:35:04;43357;Галантерея encoding;LINUX;OPERA;86801;89052
2;разобрать;2022-08-15T23:35:31;70580;область Malaysian площадь;MAC;FIREFOX;77472;76863
3;Loti Стальной;2022-08-16T17:55:19;65486;Шарф synthesize;LINUX;FIREFOX;59536;74072
4;Pound;2022-08-15T22:45:26;400;1080-пиксельный Электроника Амурская;WINDOWS;CHROME;4075;37040
5;импортировать Quetzal;2022-08-16T07:56:37;95829;разработчик Focused передать;WINDOWS;OPERA;81;613
6;администратор автономный invoice;2022-08-16T09:30:01;16123;Кировская темно-фиолетовый сигнализации;LINUX;FIREFOX;68389;54860
7;ввести Account Дом;2022-08-16T05:53:05;96862;Account Носки Сент-Люсия;LINUX;SAFARI;98926;14552
8;излишний;2022-08-16T02:33:21;87745;neutral ограничитель Ливан;WINDOWS;IE;46732;49700
9;seamless Cambridgeshire;2022-08-16T02:56:33;54789;брандмауэр;MAC;SAFARI;62939;75839
10;deposit;2022-08-16T11:30:29;55539;Центральный;MAC;SAFARI;55871;73127
